ID,Gender,Loyal,Age,Class,Flight distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
36029,Female,Yes,39,Business,413,5,3,3,3,4,4,3,5,5,4,5,2,5,2,0,0,0
125047,Male,Yes,44,Eco,2300,3,4,3,1,1,3,1,1,5,2,4,5,5,1,4,0,0
89724,Male,Yes,64,Eco,1035,2,4,2,1,4,2,1,4,3,5,4,3,5,4,4,0,0
91386,Male,Yes,16,Business,2218,4,4,4,4,5,4,5,5,3,4,3,3,5,5,0,0,1
54524,Male,Yes,11,Eco,925,4,4,4,1,5,4,5,5,4,2,4,4,5,5,0,0,1
107615,Male,Yes,17,Business,423,1,1,3,1,3,4,3,3,3,3,4,4,5,3,0,0,1
102767,Male,Yes,26,Eco,1618,2,2,2,4,4,2,4,4,3,5,2,3,4,4,58,54,0
112892,Male,Yes,29,Business,1642,1,5,5,5,1,1,1,1,2,1,3,1,3,1,24,14,0
73777,Male,Yes,68,Eco,192,2,3,2,4,1,2,3,1,1,1,4,3,3,1,3,0,0
25445,Male,No,29,Eco,669,3,2,2,4,5,2,2,5,4,3,2,4,5,5,0,0,0
71841,Female,Yes,43,Eco,1652,3,3,4,4,1,2,2,3,3,3,3,4,3,2,30,12,0
75405,Male,No,71,Business,2330,4,4,4,2,5,4,1,5,4,2,5,5,5,5,4,5,1
120255,Male,Yes,63,Eco Plus,1303,2,5,2,1,3,2,3,3,5,3,5,4,4,3,52,35,0
62293,Male,Yes,35,Business,414,3,3,3,3,2,4,4,2,2,2,2,5,2,5,0,0,1
43315,Male,Yes,40,Business,436,2,1,2,2,1,4,4,2,2,2,2,4,2,3,0,0,0
62881,Female,No,17,Eco,830,3,3,3,3,2,3,2,2,3,3,4,5,4,2,1,0,0
129427,Male,No,46,Eco,414,3,3,3,3,4,3,4,4,1,5,3,1,3,4,4,0,0
12109,Female,Yes,31,Business,2265,3,3,3,3,5,5,5,5,2,5,5,5,2,5,0,0,1
53529,Male,Yes,52,Eco Plus,2358,5,2,2,2,5,5,5,5,2,3,5,2,1,5,0,0,1
83380,Male,Yes,66,Eco,1124,4,1,4,4,2,4,2,2,1,3,2,3,3,2,0,0,1
15087,Male,No,36,Eco,322,2,4,2,3,1,2,1,1,1,5,3,1,3,1,2,11,0
14697,Female,Yes,41,Business,419,3,5,3,3,1,4,1,4,4,4,4,2,4,2,0,0,1
56822,Male,No,15,Eco,1170,3,4,4,4,2,3,2,2,4,4,3,1,3,2,65,48,0
123683,Female,No,42,Eco,214,3,2,3,3,4,3,1,4,3,3,4,1,3,4,0,0,0
70860,Male,Yes,49,Business,761,3,1,4,1,1,4,4,3,3,3,3,1,3,1,0,0,0
20019,Female,Yes,34,Business,2110,4,4,4,4,4,4,5,4,4,4,4,4,4,3,5,0,1
86227,Female,No,30,Eco,356,4,3,3,5,2,3,2,2,4,2,1,1,2,2,0,0,0
14334,Female,Yes,25,Eco,429,2,4,2,3,2,2,2,2,5,3,1,2,2,2,0,0,0
5255,Male,No,26,Business,285,1,2,1,2,3,1,3,3,4,2,3,1,2,3,0,3,0
109168,Male,Yes,49,Business,1729,5,5,5,5,2,4,4,5,5,5,5,4,5,4,5,5,1
17498,Female,Yes,39,Eco,341,2,5,5,5,2,2,2,2,3,3,3,1,3,2,0,0,0
13655,Female,Yes,39,Business,1711,0,4,0,3,1,3,3,5,5,5,5,5,5,3,0,0,1
58217,Male,Yes,50,Eco,925,0,4,0,1,3,0,3,3,3,2,5,1,5,3,0,0,1
103533,Female,Yes,53,Business,3590,3,3,3,3,4,5,4,4,4,4,4,5,4,4,19,3,1
83819,Male,Yes,58,Business,2139,5,5,5,5,2,5,5,4,4,4,4,3,4,3,20,26,1
62113,Female,No,37,Business,2434,3,3,3,4,3,3,3,3,5,5,5,3,5,3,9,0,0
89419,Female,Yes,54,Business,151,2,2,2,2,3,3,3,4,4,4,2,4,4,1,0,0,0
87948,Female,Yes,7,Business,545,3,3,3,4,2,3,2,2,1,3,4,2,3,2,0,0,0
6487,Male,No,22,Eco,557,2,4,2,1,1,2,1,1,4,4,5,3,4,1,0,5,0
64819,Male,Yes,48,Business,3873,4,2,4,2,2,2,3,4,4,4,4,1,4,3,0,4,0
41474,Female,Yes,29,Business,1504,5,4,5,5,5,5,5,5,5,2,2,3,2,5,0,0,1
33698,Female,Yes,25,Business,3043,5,5,5,5,5,4,5,5,1,2,5,1,1,5,1,0,1
16564,Male,Yes,10,Business,3692,1,3,3,3,1,1,1,1,2,4,4,4,3,1,9,30,0
126235,Female,No,25,Eco,328,4,0,4,3,5,4,5,5,2,3,2,5,1,5,0,0,0
99147,Male,Yes,55,Eco Plus,419,3,4,3,3,5,3,5,5,5,1,3,2,5,5,0,0,0
22790,Male,Yes,50,Business,3449,1,1,1,1,2,4,2,4,4,4,4,1,4,5,0,0,1
124511,Female,No,18,Eco Plus,930,2,3,3,4,4,3,4,4,4,2,4,3,4,4,86,62,0
99475,Female,Yes,17,Eco,307,2,1,1,1,2,2,1,2,2,3,3,2,3,2,39,28,0
115440,Male,Yes,62,Business,308,2,2,2,2,3,5,4,5,5,5,5,5,5,3,11,3,1
63797,Female,Yes,22,Eco,1721,4,4,4,2,4,4,4,4,4,5,5,5,4,4,31,0,0
126141,Male,Yes,54,Eco,590,2,5,2,5,3,2,3,3,2,5,4,4,4,3,35,14,0
63717,Female,Yes,58,Business,1660,4,4,4,4,2,4,4,4,4,4,4,4,4,4,44,16,1
91157,Male,Yes,11,Eco,404,2,5,2,5,2,2,2,2,4,2,4,3,4,2,0,0,0
96065,Male,Yes,40,Eco,1090,1,4,2,3,4,2,1,4,4,3,4,2,4,4,63,59,0
18938,Female,Yes,16,Eco,500,2,3,2,3,3,2,3,3,1,1,1,1,3,3,0,4,0
10019,Male,Yes,20,Eco Plus,534,2,5,2,3,4,2,3,4,5,3,4,3,4,4,21,18,0
9490,Male,Yes,39,Business,3977,2,2,2,2,2,5,4,5,5,5,5,3,5,4,25,23,1
26907,Male,Yes,23,Business,1660,2,2,2,2,5,5,5,5,1,3,3,2,4,5,1,5,1
12010,Female,Yes,43,Business,3121,3,5,5,5,2,2,3,3,3,3,3,3,3,4,9,8,0
53294,Female,Yes,33,Business,758,1,3,3,3,5,3,3,1,1,1,1,1,1,2,0,1,0
100358,Male,Yes,50,Eco,1052,2,4,2,4,5,2,5,5,5,4,4,5,5,5,0,0,0
81779,Male,Yes,53,Business,2845,1,1,1,1,3,4,4,5,5,5,5,4,5,4,0,0,1
89222,Male,Yes,16,Eco,2139,2,4,2,2,1,2,1,1,5,5,5,5,4,1,0,0,0
1333,Female,No,24,Eco,134,3,0,3,2,3,3,2,3,3,4,4,3,5,3,0,0,0
5026,Female,Yes,48,Business,303,2,4,2,2,5,4,5,2,2,2,2,4,2,3,0,2,0
52895,Female,Yes,26,Eco,836,4,4,5,4,5,5,5,5,5,4,5,1,2,5,51,38,0
13212,Male,Yes,44,Business,3162,3,3,3,3,5,5,5,4,4,4,4,4,4,4,0,0,1
23378,Female,Yes,54,Eco,1014,4,1,5,3,5,5,3,1,2,2,2,3,1,3,259,244,0
37679,Female,Yes,7,Eco,1028,1,4,1,2,2,1,3,2,3,2,4,5,4,2,5,1,0
52027,Male,Yes,42,Eco,328,4,4,4,4,4,4,4,4,3,5,5,4,5,4,0,0,1
42699,Male,Yes,28,Eco,516,3,3,2,3,4,2,4,4,1,4,3,5,1,4,0,0,0
51269,Female,Yes,39,Eco Plus,262,5,4,4,4,5,5,5,5,2,4,1,4,5,5,0,0,1
67882,Female,Yes,46,Eco,1205,1,3,0,3,1,2,2,5,5,0,3,3,5,4,0,0,0
25957,Female,Yes,48,Business,946,2,2,2,2,3,4,5,5,5,5,5,4,5,2,10,0,1
59807,Male,Yes,51,Business,2638,2,2,2,2,3,3,4,2,2,2,2,3,2,2,0,0,0
122925,Male,Yes,22,Business,631,3,5,3,1,2,3,2,2,3,4,4,4,5,2,0,0,0
56722,Male,Yes,27,Eco,937,1,4,1,4,4,1,4,4,3,3,4,3,4,4,72,88,0
85058,Male,Yes,19,Business,696,2,5,2,2,4,2,4,4,5,3,4,5,5,4,0,0,0
66910,Female,No,23,Business,1017,0,0,1,5,4,1,4,4,5,3,4,4,5,4,85,79,1
36650,Female,Yes,28,Eco,1185,4,4,4,2,2,4,2,2,1,3,3,2,4,2,1,7,0
72073,Female,Yes,41,Business,2556,1,1,1,1,5,3,4,5,5,5,5,5,5,5,16,0,1
117499,Female,Yes,39,Business,107,5,5,5,5,5,5,2,5,5,5,5,4,5,5,6,14,1
128466,Female,Yes,15,Eco,370,2,2,2,4,2,2,2,2,2,5,4,3,4,2,1,0,0
49196,Male,Yes,42,Eco,134,4,5,5,5,4,4,4,4,3,3,4,2,5,4,0,0,1
60939,Male,No,29,Eco,888,4,4,4,3,4,4,5,4,4,2,4,3,3,4,61,53,0
120807,Female,Yes,47,Business,2431,2,2,2,2,2,5,4,4,4,4,4,3,4,3,0,0,1
41740,Female,Yes,31,Eco,695,2,3,2,1,2,2,2,2,4,5,1,2,1,2,0,0,0
113419,Female,Yes,49,Business,3955,4,4,4,4,2,5,5,5,5,5,5,3,5,3,21,18,1
33172,Female,Yes,44,Eco,101,1,4,1,1,4,4,4,1,1,1,1,3,1,5,5,17,0
40781,Female,Yes,25,Eco,501,4,2,4,2,4,4,1,4,1,3,3,1,2,4,57,51,0
107477,Male,Yes,42,Business,1675,5,5,5,5,2,4,5,4,4,4,4,3,4,5,0,0,1
109256,Male,Yes,62,Eco Plus,612,2,5,5,5,2,2,2,2,3,3,3,2,2,2,174,177,0
115791,Male,No,16,Eco,446,2,4,2,3,3,2,3,3,2,1,3,4,3,3,88,89,0
93500,Male,Yes,7,Eco,1107,2,1,2,3,2,2,2,2,1,1,4,1,4,2,1,0,0
47428,Female,Yes,43,Eco,574,1,3,3,3,5,3,4,1,1,1,1,2,1,3,0,0,0
6620,Female,Yes,58,Business,1945,3,3,3,3,3,4,5,4,4,4,4,4,4,3,85,75,1
53340,Male,No,46,Eco,1145,2,2,2,2,5,2,3,5,2,2,2,4,1,5,35,52,0
95208,Female,Yes,21,Eco,148,2,4,2,3,3,2,3,3,4,5,4,4,5,3,45,50,0
68846,Male,Yes,43,Business,936,2,2,2,2,4,4,5,5,5,5,5,4,5,3,0,0,1
126874,Male,Yes,17,Eco,2125,2,4,2,2,1,2,1,1,1,4,2,3,4,1,0,0,0
55731,Male,Yes,50,Business,2052,4,3,4,4,2,4,4,4,4,5,4,3,4,3,4,11,1
116678,Male,Yes,53,Eco Plus,371,4,1,1,1,4,4,4,4,1,2,3,4,4,4,0,0,0
33878,Male,Yes,32,Eco,1105,0,0,0,5,2,0,2,2,2,4,5,1,4,2,0,0,1
18819,Female,No,36,Eco,448,1,3,1,4,2,1,2,2,2,2,4,5,5,2,51,45,0
63402,Female,Yes,29,Eco,447,2,3,2,3,4,2,4,4,1,2,4,3,3,4,0,8,0
33290,Female,Yes,10,Eco Plus,216,4,4,4,3,5,4,5,5,3,2,4,4,3,5,0,0,0
119682,Female,Yes,16,Business,1325,5,4,5,3,5,4,4,5,5,4,5,4,4,4,243,226,1
87931,Male,Yes,67,Business,2359,2,2,2,2,2,5,4,4,4,4,4,4,4,3,0,0,1
113466,Male,Yes,31,Business,397,2,1,1,1,2,2,2,2,1,3,3,1,3,2,14,6,0
123495,Male,Yes,34,Business,2125,3,2,2,2,2,3,4,3,3,3,3,2,3,3,0,0,0
41035,Female,No,22,Eco,1086,1,1,1,3,5,1,5,5,2,3,3,3,4,5,0,0,0
105888,Female,No,27,Business,283,0,0,0,4,3,0,3,3,3,3,5,5,4,3,51,38,1
99418,Male,Yes,36,Eco,337,5,2,4,4,5,5,5,5,5,3,2,3,3,5,0,0,1
1272,Female,Yes,51,Eco,134,1,5,1,2,3,5,4,1,1,1,1,4,1,4,0,0,0
87125,Male,Yes,63,Eco,594,3,2,3,4,5,3,5,5,4,3,4,2,3,5,13,3,0
2668,Male,Yes,53,Eco,222,1,2,4,4,1,1,1,1,4,1,3,3,4,1,4,7,0
23626,Female,No,37,Eco,911,2,2,2,3,1,2,1,1,4,2,1,1,3,1,0,0,0
70710,Female,Yes,56,Business,2463,5,5,5,5,4,4,4,5,5,5,5,3,5,4,2,2,1
67803,Female,No,47,Eco,771,3,3,3,2,1,3,1,1,3,2,3,3,1,1,9,4,0
32759,Male,Yes,33,Business,3973,2,2,2,2,4,4,3,4,2,3,5,4,3,4,0,0,1
18374,Female,Yes,19,Eco,169,4,4,4,4,3,4,3,3,4,3,5,5,5,3,0,0,0
46692,Female,Yes,22,Eco,125,3,1,3,3,4,3,4,4,4,1,3,1,4,4,87,101,0
69457,Male,Yes,24,Eco,1096,2,5,2,3,1,2,1,1,5,4,4,3,1,1,1,0,0
58463,Female,Yes,56,Eco Plus,733,4,5,4,3,5,3,4,5,5,4,5,3,5,3,3,0,0
121653,Female,Yes,26,Business,511,4,4,4,4,5,5,5,5,4,2,5,3,5,5,2,0,1
81764,Female,Yes,41,Business,3050,4,4,4,4,5,5,5,4,4,4,4,4,4,3,8,0,1
76823,Male,Yes,52,Business,1851,2,2,2,2,2,5,5,3,3,3,3,3,3,5,20,3,1
27347,Male,Yes,53,Eco,679,3,2,1,2,3,3,3,3,3,5,4,1,4,3,0,0,0
109302,Male,Yes,27,Business,1136,3,2,3,3,5,5,5,5,3,4,4,5,4,5,0,0,1
47212,Male,Yes,8,Eco,954,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,0,0
96525,Female,No,32,Eco,436,2,1,2,4,1,2,1,1,1,5,3,4,3,1,71,63,0
35563,Female,No,13,Eco Plus,1118,2,0,2,4,3,2,3,3,5,1,3,2,4,3,17,27,0
45845,Female,Yes,67,Eco,216,1,0,1,3,2,4,5,2,2,1,2,3,2,4,0,0,0
121337,Male,Yes,35,Business,430,4,4,2,4,2,4,5,5,5,5,5,5,5,4,0,1,1
25105,Male,Yes,23,Business,946,4,4,4,4,4,5,4,4,4,3,5,4,4,4,0,0,1
106966,Female,Yes,40,Eco,1036,2,3,3,3,2,2,2,2,1,1,2,1,2,2,26,32,0
87625,Female,Yes,50,Business,2323,5,5,5,5,4,4,5,5,5,5,5,3,5,4,0,14,1
23731,Female,Yes,50,Eco,771,4,2,2,2,3,3,4,4,4,4,4,2,4,3,66,125,1
76722,Female,No,39,Business,547,1,1,1,3,3,1,3,3,1,3,4,3,3,3,1,0,0
106816,Female,Yes,32,Business,1488,5,5,5,5,4,4,4,4,5,3,4,3,5,4,35,39,1
64620,Male,Yes,60,Business,224,1,1,1,1,2,5,4,5,5,5,5,4,5,5,0,1,1
27254,Female,No,23,Eco,954,2,2,2,2,2,2,2,2,5,4,5,5,5,2,0,0,0
25141,Female,Yes,68,Eco,1249,3,5,3,1,5,5,4,4,4,3,4,3,4,4,0,0,0
122061,Female,Yes,53,Business,3696,1,3,3,3,4,3,4,2,2,2,1,2,2,2,90,87,0
91315,Female,Yes,23,Business,3482,4,5,4,4,4,4,4,5,4,5,4,4,5,4,299,304,1
39818,Female,Yes,49,Business,2811,1,1,1,1,5,2,1,5,5,5,5,2,5,4,0,0,1
57926,Male,Yes,43,Eco Plus,305,4,3,2,3,4,4,4,4,4,1,3,4,3,4,6,6,0
82535,Male,Yes,43,Business,629,4,4,4,4,5,4,4,4,4,4,4,3,4,4,63,50,1
35707,Female,Yes,58,Eco,2576,2,4,2,2,2,4,2,3,5,4,5,2,1,2,0,18,0
116170,Female,Yes,38,Eco,371,1,0,1,4,5,1,2,5,4,3,4,5,5,5,19,17,0
61605,Male,Yes,41,Business,1635,1,1,1,1,3,3,4,4,4,4,4,5,4,5,1,0,1
96303,Male,Yes,41,Business,3101,5,5,5,5,5,4,4,4,4,4,4,5,4,4,0,1,1
110066,Male,No,14,Business,1072,5,0,5,5,5,5,1,5,4,2,4,3,4,5,12,10,1
47820,Female,No,23,Eco,550,3,3,3,3,3,3,2,3,1,1,3,3,3,3,0,0,0
68151,Male,Yes,59,Business,3810,2,2,2,2,3,4,4,4,4,4,4,3,4,3,2,0,1
27801,Male,No,26,Eco,1533,3,3,3,3,2,3,5,2,1,3,4,4,4,2,0,0,0
1797,Male,No,44,Business,408,3,3,3,3,1,3,1,1,5,5,4,3,5,1,80,121,0
