Type,Release Year,Purchase Amtount
Original,2018,33.5
Original,2018,53.99
Original,2017,33.24
Original,2017,11.67
New,2017,12.14
New,2018,52.19
New,2018,12.78
New,2017,10.9
Original,2018,36.66
New,2017,47.31
New,2017,0
Original,2017,8.62
New,2017,6.87
Original,2017,13.33
Original,2018,4.97
Original,2018,18.97
Original,2017,32.24
Original,2017,4
New,2017,14.01
Original,2017,182.64
New,2017,9.66
New,2017,4.85
New,2018,25.26
New,2017,22.98
New,2017,9.59
New,2018,26.74
Original,2017,17.08
New,2017,4.41
New,2017,18.82
New,2018,36.24
New,2017,28.25
Original,2017,25.86
New,2018,36.4
Original,2018,16.48
Original,2017,4.25
New,2017,31.72
Original,2017,39.22
New,2017,7.01
Original,2018,30.46
Original,2017,8.83
Original,2017,0
New,2018,14.37
Original,2018,22.37
Original,2018,6.49
New,2017,46.9
New,2017,43.01
Original,2017,13.38
New,2018,27.15
Original,2018,6.62
Original,2017,36.18
New,2017,31.95
New,2020,26.47
New,2017,19.22
Original,2018,19.54
Original,2018,37.89
Original,2018,37.98
New,2018,36.54
Original,2018,14.01
Original,2018,4.42
New,2017,0
Original,2017,47.23
Original,2017,8.72
New,2018,16.48
New,2018,66.99
Original,2017,19.24
New,2017,11.29
New,2017,16.75
Original,2017,29.39
New,2017,10.88
Original,2018,7.89
New,2018,8.7
Original,2017,7.63
New,2017,34.95
Original,2018,13.72
New,2017,59.59
Original,2017,27.39
New,2018,12.25
New,2018,19.94
Original,2018,13.17
New,2018,0
New,2017,14.04
New,2017,104.19
New,2018,0
New,2019,39.57
New,2017,90.52
Original,2017,14.74
Original,2017,21.3
Original,2017,22.69
Original,2017,0
Original,2018,16.85
New,2018,21.81
Original,2017,56.97
New,2018,35.53
Original,2018,49.54
Original,2018,55.96
New,2017,34.44
New,2017,26.77
New,2017,0
Original,2018,4
New,2017,49.11
New,2017,19.31
Original,2017,0
Original,2017,39.92
New,2017,9.46
New,2017,50.16
Original,2017,10.94
New,2017,19.64
New,2018,0
Original,2017,38.79
New,2018,19.05
New,2019,55.06
Original,2017,21.91
New,2018,10.12
Original,2017,12.71
New,2017,15.75
New,2018,71.99
Original,2017,58.99
